strategy_name,strategy_type,n_trades,notional_usd,total_premium_paid_usd,total_tx_cost_usd,total_payout_usd,total_pnl_usd,max_drawdown_usd,win_rate_pct,premium_recovery_pct,sharpe_monthly,annual_sharpe_mean,annual_sharpe_min,annual_sharpe_std,annual_sharpe_cv,annual_sharpe_score,n_years,pct_positive_years,min_annual_pnl_usd,calmar,gain_to_pain,ulcer_index,feasibility_pct,ko_rate_pct,leg_a_ko_rate_pct,leg_b_ko_rate_pct,both_survive_rate_pct,structure_vs_min_leg_pct
USDCNH CALL-upout  ATM  1M  H@25Δ  [Realized vol (20d) < 252d median],single,588,10000000.0,6684476.989850563,1176000.0,7861839.238390401,1177362.2485398382,-698675.0910984692,29.421768707482993,117.61337873295842,0.49281543212033374,-0.32126862460075173,-3.198264043794392,1.7597741498499517,-5.477578621432035,-2.0810427744507036,4,75.0,-333987.21953180863,0.5366135721759959,1.5215516332194146,3.1997267451592655,100.0,21.93877551020408,,,,
USDCNH PUT-downout  ATM  1M  H@25Δ  [Realized vol (20d) < 252d median],single,588,10000000.0,6715739.959958285,1176000.0,4929122.801479263,-1786617.1584790216,-2298686.8251048904,16.83673469387755,73.39657030898323,-0.9570643985613407,-1.3012022412483228,-2.54463178323483,1.2571555825167018,-0.9661492600186699,-2.5583578237650246,4,25.0,-1085258.5517825673,-0.24750187913156954,0.4292327533241928,15.11818482126568,100.0,20.74829931972789,,,,
USDCNH CALL-upout  ATM  6W  H@25Δ  [Realized vol (20d) < 252d median],single,588,10000000.0,7716759.02746582,1176000.0,9666997.022431685,1950237.9949658643,-865489.6485574569,31.122448979591837,125.27276008003479,0.5861976629479411,-0.46621302802783426,-4.078959874820923,2.1403987216927973,-4.591031552136311,-2.6066117497206314,4,75.0,-456428.7390493229,0.7156787453493131,1.6259823322742866,3.599397540778647,100.0,21.598639455782312,,,,
USDCNH PUT-downout  ATM  6W  H@25Δ  [Realized vol (20d) < 252d median],single,588,10000000.0,7760587.695587164,1176000.0,5427238.152536172,-2333349.543050992,-3968727.8923494075,18.197278911564627,69.93333965702385,-0.9047450045378985,-1.436068293889999,-4.489497056531986,2.401198537819801,-1.6720643078300077,-3.8372668317098,4,50.0,-2058494.3882731134,-0.18673290912628163,0.5073020328661448,26.064171088360478,100.0,21.258503401360542,,,,
USDCNH CALL-upout  ATM  2M  H@25Δ  [Realized vol (20d) < 252d median],single,588,10000000.0,9227260.004822286,1176000.0,13306423.61731661,4079163.6124943225,-1555685.5939934785,30.952380952380953,144.20774542347888,0.9748645742393985,-7.931912139680115,-35.251408687358854,15.79901452404744,-1.9918292393849684,-23.730926663727555,4,50.0,-915063.186908072,0.8342527201949164,2.1714662347169615,5.899200689822848,100.0,20.408163265306122,,,,
USDCNH PUT-downout  ATM  2M  H@25Δ  [Realized vol (20d) < 252d median],single,588,10000000.0,9293082.121452505,1176000.0,6646413.924755205,-2646668.1966973003,-4960387.673981071,17.687074829931973,71.52001712556019,-0.7325646705355578,-2.2292792779894306,-7.827980380971345,3.640828159246432,-1.633186202910416,-5.870107437235863,4,50.0,-3085988.109159652,-0.16975876836110826,0.5715922152066134,32.964325774089296,100.0,24.31972789115646,,,,
USDCNH CALL-upout  ATM  10W  H@25Δ  [Realized vol (20d) < 252d median],single,588,10000000.0,9901706.432674147,1176000.0,13323911.750668373,3422205.317994226,-2263750.149253435,27.721088435374146,134.56177317781774,0.6534983164521844,-1.2078103692157698,-6.981998076449938,3.477116357843026,-2.8788595018444116,-4.684926727058796,4,50.0,-1051362.1868218356,0.48014228410345383,1.7013625121332643,8.993335140264946,100.0,21.768707482993197,,,,
USDCNH PUT-downout  ATM  10W  H@25Δ  [Realized vol (20d) < 252d median],single,588,10000000.0,9978919.51560954,1176000.0,7777440.886593827,-2201478.629015714,-4019966.303450676,19.217687074829932,77.938707436491,-0.5926265235396617,-0.8558154762534032,-3.3168539692919854,1.776773863864546,-2.0761179403332632,-2.632589340117949,4,50.0,-2366934.563090685,-0.17393398428927798,0.6398558043734697,26.483092356362892,100.0,25.0,,,,
USDCNH CALL-upout  ATM  3M  H@25Δ  [Realized vol (20d) < 252d median],single,579,10000000.0,11207443.310109224,1158000.0,10027231.631313032,-1180211.6787961912,-3650873.380543123,19.689119170984455,89.46939416832356,-0.25878994681281636,-2.8644093377490565,-9.070729371427714,3.8454399570753646,-1.3424896736641814,-6.709849294824421,4,25.0,-1449022.1269288012,-0.10412147383809084,0.8146618290300994,16.22454898898803,100.0,24.697754749568222,,,,
USDCNH PUT-downout  ATM  3M  H@25Δ  [Realized vol (20d) < 252d median],single,579,10000000.0,11311033.217791667,1158000.0,12443129.736715987,1132096.5189243185,-3029080.683082478,25.561312607944732,110.00878078179093,0.19900754459647788,0.11222749377992097,-0.8360915135064193,0.8096242826173505,7.214134926732217,-0.6973967888374295,4,50.0,-862648.8130198133,0.12037873732368937,1.1938103039257215,12.608908035109037,100.0,23.316062176165804,,,,
