strategy_name,strategy_type,period_type,period_end,pnl_usd,equity_usd,drawdown_usd
BASKET  Call-UO  10W  ATM/H@25Δ,eko_basket,monthly,2024-10-31,-865380.0870368194,20430820.81319422,-2123903.089937657
BASKET  Call-UO  10W  ATM/H@25Δ,eko_basket,monthly,2024-11-30,1493546.693055525,21924367.50624974,-630356.3968821354
BASKET  Call-UO  10W  ATM/H@25Δ,eko_basket,monthly,2024-12-31,1437904.588876651,23362272.095126383,0.0
BASKET  Call-UO  10W  ATM/H@25Δ,eko_basket,monthly,2025-01-31,1237100.1880750991,24599372.283201475,0.0
BASKET  Call-UO  10W  ATM/H@25Δ,eko_basket,monthly,2025-02-28,2155716.004230017,26755088.287431493,-76381.04670763016
BASKET  Call-UO  10W  ATM/H@25Δ,eko_basket,monthly,2025-03-31,-611744.2246071028,26143344.06282439,-688125.2713147327
BASKET  Call-UO  10W  ATM/H@25Δ,eko_basket,monthly,2025-04-30,277676.8460613312,26421020.908885714,-515269.69286460057
BASKET  Call-UO  10W  ATM/H@25Δ,eko_basket,monthly,2025-05-31,-1460235.8930271175,24960785.0158586,-1975505.5858917125
BASKET  Call-UO  10W  ATM/H@25Δ,eko_basket,monthly,2025-06-30,-1569376.5994067744,23391408.416451816,-3544882.1852984987
BASKET  Call-UO  10W  ATM/H@25Δ,eko_basket,monthly,2025-07-31,-533124.700304715,22858283.7161471,-4078006.8856032155
BASKET  Call-UO  10W  ATM/H@25Δ,eko_basket,monthly,2025-08-31,1275222.1445704645,24133505.860717565,-2802784.7410327494
BASKET  Call-UO  10W  ATM/H@25Δ,eko_basket,monthly,2025-09-30,194084.73563364136,24327590.596351206,-2608700.005399108
BASKET  Call-UO  10W  ATM/H@25Δ,eko_basket,monthly,2025-10-31,2731690.259367241,27059280.85571844,0.0
BASKET  Call-UO  10W  ATM/H@25Δ,eko_basket,monthly,2025-11-30,1531453.45226693,28590734.307985373,-14116.336626742035
BASKET  Call-UO  10W  ATM/H@25Δ,eko_basket,monthly,2025-12-31,-24293.928992706453,28566440.37899267,-504341.4064656943
BASKET  Call-UO  10W  ATM/H@25Δ,eko_basket,monthly,2026-01-31,21259.40689579255,28587699.785888463,-483081.99956990033
BASKET  Call-UO  10W  ATM/H@25Δ,eko_basket,monthly,2026-02-28,33959.31976312235,28621659.105651584,-449122.67980678007
BASKET  Call-UO  10W  ATM/H@25Δ,eko_basket,monthly,2026-03-31,987840.3186199641,29609499.424271546,0.0
BASKET  Call-UO  10W  ATM/H@25Δ,eko_basket,monthly,2026-04-30,1060525.4164398469,30670024.840711392,-351907.78370728716
BASKET  Call-UO  10W  ATM/H@25Δ,eko_basket,monthly,2026-05-31,236863.94965477724,30906888.790366173,-115043.83405250683
BASKET  Call-UO  10W  ATM/H@25Δ,eko_basket,annual,2023-12-31,12766867.77726839,12766867.777268393,-2189545.6564644147
BASKET  Call-UO  10W  ATM/H@25Δ,eko_basket,annual,2024-12-31,10595404.31785799,23362272.095126383,0.0
BASKET  Call-UO  10W  ATM/H@25Δ,eko_basket,annual,2025-12-31,5204168.283866308,28566440.37899267,-504341.4064656943
BASKET  Call-UO  10W  ATM/H@25Δ,eko_basket,annual,2026-12-31,2340448.411373503,30906888.790366173,-115043.83405250683
BASKET  Call-UO  10W  45Δ/H@20Δ,eko_basket,monthly,2023-03-31,509582.55461476574,509582.5546147658,0.0
BASKET  Call-UO  10W  45Δ/H@20Δ,eko_basket,monthly,2023-04-30,3377096.785313556,3886679.339928322,0.0
BASKET  Call-UO  10W  45Δ/H@20Δ,eko_basket,monthly,2023-05-31,-459881.9324988054,3426797.407429516,-707813.0270744641
BASKET  Call-UO  10W  45Δ/H@20Δ,eko_basket,monthly,2023-06-30,1773667.6392121436,5200465.046641659,0.0
BASKET  Call-UO  10W  45Δ/H@20Δ,eko_basket,monthly,2023-07-31,1404891.1925225654,6605356.239164224,-82073.69323385041
BASKET  Call-UO  10W  45Δ/H@20Δ,eko_basket,monthly,2023-08-31,142065.17364153962,6747421.412805765,0.0
BASKET  Call-UO  10W  45Δ/H@20Δ,eko_basket,monthly,2023-09-30,2643962.288811855,9391383.701617617,0.0
BASKET  Call-UO  10W  45Δ/H@20Δ,eko_basket,monthly,2023-10-31,2262545.175114331,11653928.87673195,0.0
BASKET  Call-UO  10W  45Δ/H@20Δ,eko_basket,monthly,2023-11-30,481397.255589851,12135326.1323218,-862459.2430686709
BASKET  Call-UO  10W  45Δ/H@20Δ,eko_basket,monthly,2023-12-31,-1586896.6291865278,10548429.503135273,-2449355.872255197
BASKET  Call-UO  10W  45Δ/H@20Δ,eko_basket,monthly,2024-01-31,-1544249.0925569101,9004180.410578365,-3993604.9648121055
BASKET  Call-UO  10W  45Δ/H@20Δ,eko_basket,monthly,2024-02-29,1887463.0347364657,10891643.445314832,-2106141.930075638
BASKET  Call-UO  10W  45Δ/H@20Δ,eko_basket,monthly,2024-03-31,3933921.921677235,14825565.366992068,0.0
BASKET  Call-UO  10W  45Δ/H@20Δ,eko_basket,monthly,2024-04-30,2652394.3245451404,17477959.69153721,0.0
BASKET  Call-UO  10W  45Δ/H@20Δ,eko_basket,monthly,2024-05-31,1853577.3728284254,19331537.064365633,0.0
BASKET  Call-UO  10W  45Δ/H@20Δ,eko_basket,monthly,2024-06-30,899807.7189052047,20231344.783270836,-72049.91419744492
BASKET  Call-UO  10W  45Δ/H@20Δ,eko_basket,monthly,2024-07-31,1405042.8307740202,21636387.614044864,0.0
BASKET  Call-UO  10W  45Δ/H@20Δ,eko_basket,monthly,2024-08-31,-154675.73732886172,21481711.87671601,-657053.2345340624
BASKET  Call-UO  10W  45Δ/H@20Δ,eko_basket,monthly,2024-09-30,-1075461.426673458,20406250.450042546,-1732514.661207527
BASKET  Call-UO  10W  45Δ/H@20Δ,eko_basket,monthly,2024-10-31,-1092600.4463158352,19313650.003726706,-2825115.107523367
BASKET  Call-UO  10W  45Δ/H@20Δ,eko_basket,monthly,2024-11-30,1113529.2758771023,20427179.279603805,-1711585.8316462673
BASKET  Call-UO  10W  45Δ/H@20Δ,eko_basket,monthly,2024-12-31,1106314.4516865052,21533493.731290303,-605271.3799597695
BASKET  Call-UO  10W  45Δ/H@20Δ,eko_basket,monthly,2025-01-31,1315973.1815336999,22849466.912824,0.0
BASKET  Call-UO  10W  45Δ/H@20Δ,eko_basket,monthly,2025-02-28,611600.4063358859,23461067.319159895,-458249.5745633021
BASKET  Call-UO  10W  45Δ/H@20Δ,eko_basket,monthly,2025-03-31,-1151261.5321930647,22309805.78696683,-1609511.1067563668
BASKET  Call-UO  10W  45Δ/H@20Δ,eko_basket,monthly,2025-04-30,-527527.5141042187,21782278.272862613,-2137038.620860584
BASKET  Call-UO  10W  45Δ/H@20Δ,eko_basket,monthly,2025-05-31,-1645910.631023338,20136367.641839277,-3782949.2518839203
BASKET  Call-UO  10W  45Δ/H@20Δ,eko_basket,monthly,2025-06-30,-1699378.692846482,18436988.948992785,-5482327.944730412
