bbg_ticker,csv_filename,pair,region,onshore_offshore,category,tenor,field,in_data,n_rows,first_date,last_date
ADSOA Curncy,ADSOA Curncy.csv,AUDUSD,G10,,RATE_OIS_AUD,1M,close,True,2697,2016-01-01,2026-05-15
ADSOB Curncy,ADSOB Curncy.csv,AUDUSD,G10,,RATE_OIS_AUD,2M,close,True,2697,2016-01-01,2026-05-15
ADSOC Curncy,ADSOC Curncy.csv,AUDUSD,G10,,RATE_OIS_AUD,3M,close,True,2698,2016-01-01,2026-05-15
ADSOF Curncy,ADSOF Curncy.csv,AUDUSD,G10,,RATE_OIS_AUD,6M,close,True,2699,2016-01-04,2026-05-15
ADSOI Curncy,ADSOI Curncy.csv,AUDUSD,G10,,RATE_OIS_AUD,9M,close,True,2699,2016-01-04,2026-05-15
ADSO1 Curncy,ADSO1 Curncy.csv,AUDUSD,G10,,RATE_OIS_AUD,1Y,close,True,2691,2016-01-01,2026-05-15
ADSO2 Curncy,ADSO2 Curncy.csv,AUDUSD,G10,,RATE_OIS_AUD,2Y,close,True,2688,2016-01-01,2026-05-15
ADSO5 Curncy,ADSO5 Curncy.csv,AUDUSD,G10,,RATE_OIS_AUD,5Y,close,True,2681,2016-01-01,2026-05-15
ADSO7 Curncy,ADSO7 Curncy.csv,AUDUSD,G10,,RATE_OIS_AUD,7Y,close,True,2676,2016-01-01,2026-05-15
ADSO10 Curncy,ADSO10 Curncy.csv,AUDUSD,G10,,RATE_OIS_AUD,10Y,close,True,2675,2016-01-01,2026-05-15
GACGB2 Index,GACGB2 Index.csv,AUDUSD,G10,,RATE_GOVT_AUD,2Y,close,True,2700,2016-01-01,2026-05-15
GACGB5 Index,GACGB5 Index.csv,AUDUSD,G10,,RATE_GOVT_AUD,5Y,close,True,2701,2016-01-01,2026-05-15
GACGB7 Index,GACGB7 Index.csv,AUDUSD,G10,,RATE_GOVT_AUD,7Y,close,True,2701,2016-01-01,2026-05-15
GACGB10 Index,GACGB10 Index.csv,AUDUSD,G10,,RATE_GOVT_AUD,10Y,close,True,2700,2016-01-01,2026-05-15
